step_number,description,Recipe_name
22,"Let cool.
To serve, top gratin with breadcrumbs",Chicken and Potato Gratin With Brown Butter Cream
23,Serve lemon wedges alongside for squeezing over if desired.,Chicken and Potato Gratin With Brown Butter Cream
1,Place the zest strips in a small saucepan and cover with water,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
2,"Bring the water to a boil, then drain",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
3,Repeat this process two more times (blanching the orange zest removes any bitter flavors),Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
4,Place the ginger and orange zest in a jar or heatproof container,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
5,"In a saucepan, bring the lime juice, vinegar, sugar, and ¾ teaspoon salt to a boil",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
6,Pour over the ginger and orange,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
7,"Let cool to room temperature, then cover and refrigerate overnight",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
8,"The pickled ginger can be refrigerated for a couple of months.
Drain the pickled ginger and orange and save 3 tablespoons of the pickling liquid",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
9,"Add both to a blender or mini food processor, along with the olive oil, chile, and remaining 2 tablespoons salt",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
10,"Blend until very smooth, scraping down the side of the blender as needed",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
11,Transfer to a container and refrigerate until ready to use,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
12,The puree can be made a couple of days ahead,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
13,"(Makes about 1 cup.)
Preheat the oven to 375°F",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
14,"Place the beets in a baking dish (if using a mix of red and golden beets, separate them into two smaller dishes and divide the oil, vinegar, and water between the two dishes)",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
15,Drizzle with the oil and add the water and vinegar,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
16,Season with salt and pepper,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
17,"Cover the pan with foil and roast until the beets are tender when pierced with a knife; this can take anywhere from 30 minutes to an hour, depending on the thickness of the beets",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
18,"Let the beets cool, then peel and cut into 1-inch wedges",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
19,"Place each color of beet, along with any accumulated juices, into a small mixing bowl.
In a skillet, heat the oil over medium-low heat",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
20,"Add the cashews and cook, stirring constantly, until golden brown",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
21,"Transfer to a heat-proof bowl.
Pour 1 inch of oil into a small saucepan and add the sunchokes (there should be just enough oil to cover the sunchokes; add more oil if needed)",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
22,"Turn the heat to medium and stir occasionally; when the sunchokes begin to sizzle and foam, increase the temperature to high and continue frying, stirring constantly, until the sunchokes are light golden brown",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
23,"At this point the sunchokes will rapidly go from golden brown to burnt, so quickly transfer the chips to paper towels to drain",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
24,Lightly season with salt,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
25,"The sunchoke chips can be stored in an airtight container at room temperature for a day or two, or until they start to soften",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
26,"(Makes about ½ cup.)
Using a sharp knife, cut the peel and pith off the orange",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
27,"Working over a bowl, cut the orange between the membranes to release the segments",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
28,"Dice the segments, then return them to the bowl.
Drizzle the beet wedges with a little bit of olive oil, season with salt, and toss.
Spread the ginger puree on the bottom of a shallow serving bowl or plate",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
29,Arrange the beets over the puree,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
30,Sprinkle the chopped orange segments over the beets and grind some pepper over the dish,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
31,"Top with the cashews, herbs, and sunchoke chips",Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
32,Serve.,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée
1,"Preheat oven to 220°C (425°F).
Place the pepitas into the bowl of a food processor and process until finely chopped",Kale and Pumpkin Falafels With Pickled Carrot Slaw
2,"Add the kale, garlic, chickpeas, turmeric, coriander, salt and pepper and process until well combined",Kale and Pumpkin Falafels With Pickled Carrot Slaw
3,Add the pumpkin and stir through to combine,Kale and Pumpkin Falafels With Pickled Carrot Slaw
4,Shape large tablespoonfuls of pumpkin mixture into balls,Kale and Pumpkin Falafels With Pickled Carrot Slaw
5,Place on a baking tray lined with non-stick baking paper and flatten slightly,Kale and Pumpkin Falafels With Pickled Carrot Slaw
6,"Brush well with oil, then bake for 25 minutes or until golden and crisp.
To make the pickled carrot slaw, place the carrots, vinegar, honey, chile and coriander in a bowl and toss to combine",Kale and Pumpkin Falafels With Pickled Carrot Slaw
7,"Set aside for 5 minutes to pickle.
To serve, divide the pickled carrot slaw between bowls and top with pumpkin falafels and serve with yoghurt and tahini.",Kale and Pumpkin Falafels With Pickled Carrot Slaw
1,"Preheat oven to 220°C (425°F).
Scoop the seeds from the squash and discard",Maple and Chile Roasted Squash With Quinoa Tabouli
2,"Place squash, cut side up, onto a baking tray",Maple and Chile Roasted Squash With Quinoa Tabouli
3,"Using the tip of a sharp knife, make some shallow slashes into the squash flesh",Maple and Chile Roasted Squash With Quinoa Tabouli
4,"Combine the oil, maple, chile, salt and pepper and brush over the squash",Maple and Chile Roasted Squash With Quinoa Tabouli
5,Cover with aluminium foil and roast for 20 minutes,Maple and Chile Roasted Squash With Quinoa Tabouli
6,"Remove the foil and roast for a further 40 minutes or until the squash is golden and soft.
To make the quinoa tabouli, in a large bowl combine the quinoa, mint, and arugula.
To make the lemon tahini dressing, in a small bowl, place the tahini, lemon juice, water, garlic and salt",Maple and Chile Roasted Squash With Quinoa Tabouli
7,"Mix to combine.
To serve, place the squash onto a serving platter and top with the tabouli",Maple and Chile Roasted Squash With Quinoa Tabouli
8,Drizzle with the lemon tahini dressing and sprinkle over almonds.,Maple and Chile Roasted Squash With Quinoa Tabouli
1,Preheat the oven to 350°F,Chhena Poda (Spiced Cheesecake)
2,"Butter a 9-inch nonstick metal cake pan with some ghee.
In a large bowl, stir together the paneer, confectioners’ sugar, and cardamom until incorporated but still slightly chunky",Chhena Poda (Spiced Cheesecake)
3,"Add the semolina, ghee, and milk and whisk until smooth",Chhena Poda (Spiced Cheesecake)
4,"Stir in the cashews and raisins and set aside.
Sprinkle the granulated sugar over the bottom of the prepared cake pan",Chhena Poda (Spiced Cheesecake)
5,"Set the pan on the stove over medium heat and once the sugar just begins to bubble and turn pale golden brown (the sugar will continue to caramelize in the oven, so don’t let it get any darker right now), after 8 to 10 minutes, remove the pan from the heat using tongs",Chhena Poda (Spiced Cheesecake)
6,"(This step is a bit tricky and you might be tempted to move the sugar around with a spoon while it is bubbling, but don’t touch it—just let it caramelize on its own.) You will know it’s ready for the cake batter when it’s bubbling but is still slightly grainy and just turning a pale golden color",Chhena Poda (Spiced Cheesecake)
7,"Pour the batter into the pan, using a rubber spatula to scrape the bowl clean",Chhena Poda (Spiced Cheesecake)
8,"It should settle into an even layer on its own, but if it doesn’t, use the spatula to create a smooth surface.
Wearing oven mitts, carefully transfer the pan to the oven and bake until a toothpick inserted into the center of the cake comes out clean, 40 to 45 minutes",Chhena Poda (Spiced Cheesecake)
9,Transfer to a wire rack and cool in the pan to room temperature,Chhena Poda (Spiced Cheesecake)
10,"Run a paring knife around the cake’s edges and then place a serving platter larger than the diameter of the cake over the cake and gently flip the cake over—it should slide out, with caramel coming out with it like you would see in a flan (though some caramel will be left in the pan—this is fine).
Slice and serve with freshly whipped cream or sliced almonds, if desired",Chhena Poda (Spiced Cheesecake)
11,"The cake will keep in a covered container in the refrigerator for up to 3 days.
Note: To clean the pan, add some boiling water to the pan and let it sit for at least 30 minutes to loosen up the browned sugar sticking to the surface of the pan before cleaning it.",Chhena Poda (Spiced Cheesecake)
1,"In a medium saucepan, heat the milk to 195°F over medium heat",Paneer
2,"Using a wooden spoon, stir frequently during the heating process to prevent the milk from scalding",Paneer
3,Be sure to scrape the bottom of the pan when you stir because this is where the milk is most prone to sticking,Paneer
4,"The milk will become foamy and bubbles will form on its surface once it reaches the desired temperature.
Remove from the heat and stir in the lemon juice until evenly distributed, which will cause the separation of curds from the whey",Paneer
5,"The process should begin right away, but don’t fret if it takes a minute or two",Paneer
6,Cover the pan and set aside at room temperature for 10 minutes to let the acid work its magic,Paneer
7,Check the mixture at this point: It should be slightly yellow and the curds should have completely separated from the whey,Paneer
8,Don’t panic if this hasn’t happened completely yet,Paneer
9,Simply add another teaspoon of acid and set aside for a few minutes more,Paneer
10,"This should do the trick.
Line a fine-mesh sieve with cheesecloth and set the sieve over a bowl",Paneer
11,Ladle the curds and whey into the sieve,Paneer
12,Reserve the whey for another use,Paneer
13,"Season the curds (still in the sieve) with salt, stirring it in using a wooden spoon, then gather up the edges of the cheesecloth into a tight bundle and squeeze the excess whey from the curds",Paneer
14,Place the cheesecloth and curds on a large plate and shape them into a square,Paneer
15,Wrap the cheesecloth edges around the paneer and place a second plate on top of it to compress it,Paneer
16,Set aside at room temperature for 30 minutes,Paneer
17,At this point the paneer is ready to use or it can be refrigerated in a covered container for up to 3 days.,Paneer
1,Preheat your oven to 400°F,Sloppy Joe Shirred Eggs With Spinach
2,"Combine the carrot, tomatoes plus their juice, and 1 cup water in a blender",Sloppy Joe Shirred Eggs With Spinach
3,"Blitz till it’s as smooth as your blender allows.
In an ovenproof 12-inch sauté pan or skillet set over medium heat, cook 1 tablespoon of the olive oil and the minced garlic",Sloppy Joe Shirred Eggs With Spinach
4,"Watch for the garlic to start sizzling, then stir in the spinach and ½ teaspoon of the salt",Sloppy Joe Shirred Eggs With Spinach
5,"Continue stirring for a minute, until all the spinach is wilted",Sloppy Joe Shirred Eggs With Spinach
6,"Remove it from the pan and set aside.
Add the final tablespoon olive oil to the pan, raise the heat to medium, and add the turkey plus 1 teaspoon salt",Sloppy Joe Shirred Eggs With Spinach
7,"Using a wooden spoon or spatula, break the turkey up into small morsels as it browns",Sloppy Joe Shirred Eggs With Spinach
8,"When you have browned turkey, add the cumin, paprika, and black pepper",Sloppy Joe Shirred Eggs With Spinach
9,"Stir to incorporate, toasting the spices for about 30 seconds.
Add the carrot-tomato mixture, the R-Rated Onions, vinegar, and ½ teaspoon salt",Sloppy Joe Shirred Eggs With Spinach
10,"Let this cook for about 15 minutes, uncovered, stirring occasionally",Sloppy Joe Shirred Eggs With Spinach
11,You may need to lower the heat to prevent Joe from sticking or splattering,Sloppy Joe Shirred Eggs With Spinach
12,When the ragout is done it will be thick and juicy,Sloppy Joe Shirred Eggs With Spinach
13,"If it seems too dry, stir in a little water",Sloppy Joe Shirred Eggs With Spinach
14,"Taste the ragout for seasoning and adjust as you like.
Turn the heat off and make four indentions in the ragout",Sloppy Joe Shirred Eggs With Spinach
15,Divide the spinach and put equal amounts in each indentation,Sloppy Joe Shirred Eggs With Spinach
16,Top each section of spinach with a cracked egg,Sloppy Joe Shirred Eggs With Spinach
17,"Sprinkle the eggs with the remaining 1 teaspoon salt.
Slide the skillet onto the middle rack of your preheated oven",Sloppy Joe Shirred Eggs With Spinach
18,"Bake for 10 to 12 minutes, until the whites are set and the yolks are slightly runny.
To serve, scatter ribbons of Parmigiano Reggiano or another hard cheese over the top",Sloppy Joe Shirred Eggs With Spinach
19,"If bread is your thing, this is great with toast.",Sloppy Joe Shirred Eggs With Spinach
1,"Peel your onions and cut them in half through their stem ends—longways, if you will",R-Rated Onions
2,"Slice them thinly with the grain, following the line from root to stem rather than cutting the onion across its belly",R-Rated Onions
3,"This is actually important because slicing it the other way makes the path to silky onions a longer one.
Once your onions are sliced, heat your skillet over medium-high heat and add the oil, then the onions and the salt",R-Rated Onions
4,Let the onions sizzle for a couple minutes,R-Rated Onions
5,Stir with a wooden spoon or a heatproof spatula and watch as they wilt for about 3 more minutes,R-Rated Onions
6,"At this point, reduce the heat to medium low",R-Rated Onions
7,Put a lid on and step away for a few minutes,R-Rated Onions
8,Give the onions a stir every now and then,R-Rated Onions
9,"You don’t have to stand over it like risotto, but don’t go for a walk around the block either",R-Rated Onions
10,"Caramelized bits will accumulate at the bottom and sides of the pan, and that’s good",R-Rated Onions
11,Just scrape them up and stir them in,R-Rated Onions
12,"A little color building as you go is okay, but don’t rush to brown them",R-Rated Onions
13,"The point is to cook the onions gently, coaxing them through stages of raw, wilted, sweaty, soft, light brown, and finally deeply caramelized
About 45 minutes in, remove the lid for the last time",R-Rated Onions
14,They should be a light caramel color,R-Rated Onions
15,"Now, with the lid off, you will need to watch more closely and stir more frequently",R-Rated Onions
16,"At some point you may find that despite your best efforts some of the caramelized bits, verging on burnt, cling to the pan and threaten over all onion ruin",R-Rated Onions
17,Do not fret! Just add a ½ cup or so of water and use its energy to help scrape up the stubborn but tasty film,R-Rated Onions
18,Let the water cook out of course,R-Rated Onions
19,"When you’re smiling over a soft, creamy, fragrant pile of mahogany onions, you’re done.
Note: R-Rated Onions will keep in the fridge for a week and in the freezer for 3 months.",R-Rated Onions
1,Preheat oven to 400°F,Miso-Squash Ramen
2,"Whisk oil, miso, maple syrup, and soy sauce in a small bowl until a thick paste forms",Miso-Squash Ramen
3,Place squash on a rimmed baking sheet and scrape dressing over; toss to coat,Miso-Squash Ramen
4,"Arrange squash in a single layer and roast until fork-tender (it will be a little caramelized in spots), 25–30 minutes.
Heat oil in a medium pot over medium-high",Miso-Squash Ramen
5,"Add ginger and garlic and cook, stirring, 1 minute",Miso-Squash Ramen
6,Add broth and bring to a boil,Miso-Squash Ramen
7,"Remove from heat.
Set 8 roasted squash wedges (or about 2 cups if using butternut) aside for serving",Miso-Squash Ramen
8,Add miso and remaining squash to pot and blend with an immersion blender until mostly smooth; season with salt and pepper,Miso-Squash Ramen
9,"(Alternatively, you can let broth cool slightly, then purée with sqush and miso in a regular blender.)
Meanwhile, bring a large pot of salted water to the boil and cook broccolini until crisp-tender, about 3 minutes",Miso-Squash Ramen
10,"Using tongs, transfer to a plate.
Add noodles to same pot and cook according to packet directions",Miso-Squash Ramen
11,"Drain and divide noodles among bowls.
Ladle broth over noodles and arrange broccolini and reserved squash (cut in half if they are very big) on top",Miso-Squash Ramen
12,Scatter cilantro over.,Miso-Squash Ramen
1,Heat the coconut oil in a large saucepan over medium heat,Spicy Coconut Pumpkin Soup
2,"Add the pumpkin, stir well, and cook, covered, for 15 minutes.
Add the onion, garlic, and ají dulce and stir well",Spicy Coconut Pumpkin Soup
3,"Sauté until the onion becomes translucent, 3 to 5 minutes, then add the brown sugar and cumin",Spicy Coconut Pumpkin Soup
4,Mix well,Spicy Coconut Pumpkin Soup
5,"Cook until the sugar melts, 2 to 3 minutes.
Stir in the coconut milk and broth",Spicy Coconut Pumpkin Soup
6,"Bring to a simmer and cook, uncovered, until the pumpkin is very soft, about 15 minutes.
Using an immersion blender, blend the soup into a smooth purée",Spicy Coconut Pumpkin Soup
7,"Alternatively, remove the solids with a slotted spoon and place in a blender or food processor",Spicy Coconut Pumpkin Soup
8,"Purée until smooth and return to the pan.
Bring back to a simmer and cook gently for 5 minutes so the flavors combine",Spicy Coconut Pumpkin Soup
9,Season with salt and black pepper to taste,Spicy Coconut Pumpkin Soup
10,"Serve hot, garnished with the cilantro.",Spicy Coconut Pumpkin Soup
1,"Prepare a hot grill or preheat the broiler.
With a fork, pierce the eggplants all over, and place on the grill or under the broiler",Baigan Chokha
2,"Grill or broil until completely charred and soft, about 20 minutes, turning frequently (the eggplants will brown and blister quickly)",Baigan Chokha
3,"Remove and allow to cool.
Once cool, cut open the eggplants and scrape out the flesh",Baigan Chokha
4,"The flesh should be soft to the touch and pulpy, and should easily come away from the skin",Baigan Chokha
5,"Set aside.
Heat the canola oil in a frying pan",Baigan Chokha
6,Add the onion and sauté until translucent,Baigan Chokha
7,"Add the garlic and fry until the garlic turns a dark golden brown, then add the tomato and fry for 1 to 2 minutes.
Stir in the mashed eggplant and cook for about 2 minutes",Baigan Chokha
8,Season with salt and black pepper to taste,Baigan Chokha
9,Garnish with the cilantro and serve with roti.,Baigan Chokha
1,Place the chicken pieces in a bowl and toss with the lime juice,Dad’s Curried Chicken
2,"Drain, rinse the chicken with cold water, and drain again",Dad’s Curried Chicken
3,"Remove the chicken from the bowl and pat dry with paper towels.
Place the chicken in another bowl with the Green Seasoning, salt, chili pepper, and garlic",Dad’s Curried Chicken
4,"Toss well to coat and refrigerate for at least 30 minutes but ideally overnight.
Combine the curry powder with just enough water to form a thick paste",Dad’s Curried Chicken
5,Heat the oil in a heavy-bottomed pot,Dad’s Curried Chicken
6,Add the curry paste and onion,Dad’s Curried Chicken
7,"Cook, stirring constantly, for 1 to 2 minutes over medium-low heat—do not allow the curry to scorch",Dad’s Curried Chicken
8,Add the chicken pieces and stir well to coat,Dad’s Curried Chicken
9,"Add the stock or water, cover, and simmer for 30 to 40 minutes, or until the chicken is tender.
Remove the lid and simmer for 5 minutes more over medium-high heat, until the sauce reduces by one-third",Dad’s Curried Chicken
10,Serve with roti or white rice.,Dad’s Curried Chicken
1,"Break open the cardamom pods, remove the seeds, and discard the pods.
Place the cardamom seeds, coriander, seeds, cumin seeds, mustard seeds, fenugreek seeds, and curry leaves in a heavy frying pan and toast, swirling for about 5 minutes, until the spices begin to release their aromas.
Place the toasted spices in a food processor or spice grinder and add the peppercorns and cloves",Trinidad Curry Powder
2,Grind the mixture to a find powder,Trinidad Curry Powder
3,"Stir in the turmeric.
Store in an airtight container",Trinidad Curry Powder
4,"If stored properly, curry powder will keep for at least two months.",Trinidad Curry Powder
1,"In a large heavy kettle cook garlic, onions, celery, and bell peppers in oil over moderately low heat, stirring occasionally, until softened",Shrimp Creole
2,"Add all remaining ingredients except shrimp and simmer, uncovered, 30 minutes, or until thickened",Shrimp Creole
3,"Stir in shrimp and cook, covered, over moderately high heat, stirring occasionally, until shrimp are cooked through, about 5 minutes.
Serve shrimp and sauce over coked rice.",Shrimp Creole
1,Process all the ingredients in a food processor until the mixture forms a thick paste,Green Seasoning
2,"(Alternatively, process in a blender with 2 Tbsp",Green Seasoning
3,"vinegar.)
Use immediately, or store in a tightly sealed glass jar in the refrigerator for up to 1 week.",Green Seasoning
1,"If using dried peas, soak them overnight in 3 cups of water",Chicken Pelau
2,Drain,Chicken Pelau
3,Bring 3 fresh cups of water to a boil in a saucepan and add the peas,Chicken Pelau
4,"Simmer for 15 minutes, or until cooked almost completely through",Chicken Pelau
5,Drain and set aside,Chicken Pelau
6,"If using canned beans, drain, rinse with cold water, drain again, and set aside",Chicken Pelau
7,"Wash the rice by placing it in a colander or fine-mesh sieve and running cold water over it until the water runs clear, about 1 minute",Chicken Pelau
8,"Drain well and set aside.
Heat the oil over medium heat in a Dutch oven or other heavy, deep pot",Chicken Pelau
9,"Add the sugar and swirl in the pot, stirring constantly; allow it to caramelize to a dark brown color",Chicken Pelau
10,Add the chicken and stir well to coat,Chicken Pelau
11,"Add the onion and garlic and cook for 1 to 2 minutes, stirring constantly.
Stir in 2 cups of water, the coconut milk, bay leaf, Green Seasoning, parsley, thyme, carrots, and scallions",Chicken Pelau
12,Season with salt,Chicken Pelau
13,"Reduce the heat to medium-low, cover, and simmer for 10 minutes.
Stir the rice, squash, peas, hot pepper, ketchup, and butter into the chicken",Chicken Pelau
14,"Cover and cook for 20 minutes, or until the peas and vegetables are tender",Chicken Pelau
15,Remove lid and fluff the rice,Chicken Pelau
16,The rice should be moist but not sticky,Chicken Pelau
17,"Remove bay leaf, thyme sprig, and hot pepper.
Note: Pigeon peas are traditional in this dish, but pinto beans or black-eyes peas also work well because, like pigeon peas, they hold their shape well after cooking",Chicken Pelau
18,Brown sugar is preferable for deeper flavor and color,Chicken Pelau
19,"Chicken is the most common meat in pelau, but cuts of stew beef or lamb work just as well",Chicken Pelau
20,"If using meat, up the cooking time before adding the rice to 40 minutes to allow the meat to get tender",Chicken Pelau
21,"In Tobago, pelau is often made with crab",Chicken Pelau
22,"West Indian pumpkin (also called calabaza) is ideal for this recipe, although the pie or ""cheese"" pumpkin common in the U.S., if in season, makes a very good substitute",Chicken Pelau
23,"Butternut squash will also work, although it will be slightly less sweet.",Chicken Pelau
1,"Cover potatoes, garlic, and 1 Tbsp",Our Favorite Creamy Mashed Potatoes
2,salt with cold water in a large pot,Our Favorite Creamy Mashed Potatoes
3,"Bring to a low boil, then reduce heat and simmer (do not boil) until potatoes are very tender when pierced with the tip of a paring knife but not falling apart, 20–25 minutes.
Meanwhile, heat milk, thyme, and 3/4 cup butter in a small pot over medium, stirring, until butter is melted",Our Favorite Creamy Mashed Potatoes
4,"Remove from heat; set aside.
Drain potatoes and garlic; return to pot",Our Favorite Creamy Mashed Potatoes
5,"Toss over low heat until moisture evaporates, 1–2 minutes",Our Favorite Creamy Mashed Potatoes
6,"Using potato ricer or food mill, immediately press potatoes and garlic into a large bowl (do not let cool).
Discard thyme from milk mixture and gradually stir into potatoes, reserving about 1/2 cup if you plan to make in advance (see Do Ahead)",Our Favorite Creamy Mashed Potatoes
7,Season with 2 tsp,Our Favorite Creamy Mashed Potatoes
8,salt and 3/4 tsp,Our Favorite Creamy Mashed Potatoes
9,pepper,Our Favorite Creamy Mashed Potatoes
10,Fold in sour cream and stir with a spoon until incorporated and very smooth (do not overmix or potatoes will become gummy),Our Favorite Creamy Mashed Potatoes
11,Taste and adjust seasonings,Our Favorite Creamy Mashed Potatoes
12,Serve topped with remaining 2 Tbsp,Our Favorite Creamy Mashed Potatoes
13,"butter and more pepper.
Mashed potatoes can be made 2 hours ahead; cover and store at room temperature",Our Favorite Creamy Mashed Potatoes
14,"Or chill, covered, up to 8 hours; reheat over medium with reserved 1/2 cup milk mixture.",Our Favorite Creamy Mashed Potatoes
1,Combine all the ingredients in a chilled rocks glass,Remember the Alimony
2,Add one large ice cube and stir for 10 seconds,Remember the Alimony
3,Garnish with an orange twist.,Remember the Alimony
1,Make the crust,Creole Cream Cheesecake With Caramel-Apple Topping
2,Preheat the oven to 375°F,Creole Cream Cheesecake With Caramel-Apple Topping
3,"In a medium bowl, stir together the graham cracker crumbs, granulated sugar, brown sugar, salt, and butter to combine",Creole Cream Cheesecake With Caramel-Apple Topping
4,"Pat the mixture into a 10-inch springform pan, pressing the crumbs firmly in an even layer on the bottom and making sure they come at least halfway up the side of the pan",Creole Cream Cheesecake With Caramel-Apple Topping
5,"Bake for 7 to 10 minutes, until the crust is fragrant, dry, and toasty",Creole Cream Cheesecake With Caramel-Apple Topping
6,"Let cool, then wrap the entire outside of the pan tightly in two layers of foil, all the way to the top.
In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl using a handheld mixer, cream the plain cream cheese and sugar on medium-high speed for about 4 minutes, until incredibly smooth and light",Creole Cream Cheesecake With Caramel-Apple Topping
7,Stop the mixer and scrape down the bottom and sides of the bowl with a rubber spatula,Creole Cream Cheesecake With Caramel-Apple Topping
8,"Add the Creole Cream Cheese and vanilla paste and beat on medium-high speed for about 2 minutes, scraping down the bowl once more",Creole Cream Cheesecake With Caramel-Apple Topping
9,"Decrease the speed to medium and beat in the eggs, one at a time, incorporating each one before adding the next",Creole Cream Cheesecake With Caramel-Apple Topping
10,Mix just until the batter is smooth and uniform,Creole Cream Cheesecake With Caramel-Apple Topping
11,"Continuing to mix past that point, even though the batter won’t look different, only incorporates extra air, which will cause the cheesecake to bubble excessively and the surface to crack as that air tries to escape during the baking process.
Decrease the oven temperature to 350°F",Creole Cream Cheesecake With Caramel-Apple Topping
12,Pour the batter into the prepared crust and tap the pan gently on the counter a few times to remove any large air bubbles,Creole Cream Cheesecake With Caramel-Apple Topping
13,Place the springform pan in a large baking or roasting pan (just big enough for the springform pan to fit in) and set the pan on the middle rack in the oven,Creole Cream Cheesecake With Caramel-Apple Topping
14,Fill the pan with enough hot water to reach the rim of the springform pan,Creole Cream Cheesecake With Caramel-Apple Topping
15,"Bake for about 1 hour, or until the sides of the custard are set and the middle is still just slightly wobbly",Creole Cream Cheesecake With Caramel-Apple Topping
16,"Generally, if the entirety of the custard is fully set, your cheesecake is overbaked",Creole Cream Cheesecake With Caramel-Apple Topping
17,"Don’t panic—it’ll still be delicious, and you’ll do better next time!
Let the cheesecake cool in the water until it is about room temperature",Creole Cream Cheesecake With Caramel-Apple Topping
18,"(You don’t want to have to try to grab the pan out of hot water if you can help it.) However, if you’re worried that your cheesecake might be slightly overbaked, you’ll want to pull it out rather quickly, and let it cool at room temperature",Creole Cream Cheesecake With Caramel-Apple Topping
19,Refrigerate for at least 3 hours before slicing,Creole Cream Cheesecake With Caramel-Apple Topping
20,"The cake can be refrigerated, covered, for up to 4 days.
In a large heavy-bottomed sauté pan, heat the butter until melted",Creole Cream Cheesecake With Caramel-Apple Topping
21,"Stir in the granulated sugar, brown sugar, and honey and let cook until bubbling",Creole Cream Cheesecake With Caramel-Apple Topping
22,Add the apples and toss to coat,Creole Cream Cheesecake With Caramel-Apple Topping
23,"Stir in the lemon zest, lemon juice, salt, cinnamon, cardamom, and ginger; stir to combine",Creole Cream Cheesecake With Caramel-Apple Topping
24,"Cook for about 4 minutes, or until the apples just start to soften",Creole Cream Cheesecake With Caramel-Apple Topping
25,"Remove from the heat, stir in the vanilla, and transfer to a bowl to cool completely before use",Creole Cream Cheesecake With Caramel-Apple Topping
26,The filling can be made up to 3 days ahead of time and stored in an airtight container in the refrigerator.,Creole Cream Cheesecake With Caramel-Apple Topping
1,"In a large heavy-bottomed saucepot over medium heat with a kitchen thermometer attached to the rim, warm the milk and buttermilk to 85°F",Creole Cream Cheese
2,Add one-quarter of the rennet tablet and transfer the mixture to a plastic container or bowl,Creole Cream Cheese
3,Cover with plastic wrap and then poke a few holes in the plastic to allow the steam to escape,Creole Cream Cheese
4,"Let stand at room temperature in a cool spot in your house for 48 hours.
Use a slotted spoon to transfer the solids to a double layer of cheesecloth set over a bowl and discard the liquid",Creole Cream Cheese
5,"Wrap the solids in the cheesecloth and hang it over the bowl (to catch the whey) in the refrigerator for 24 hours.
Discard the whey",Creole Cream Cheese
6,Pack the cheese into an airtight plastic container and store in the refrigerator for up to 1 week.,Creole Cream Cheese
1,"Whisk milk powder, baking powder, granulated sugar, and 2 cups (240 g) flour in a large shallow bowl",Buss Up Shut (Paratha Roti)
2,Add about a fourth of ¾ cup warm water (110°) and mix in a wide circular motion with your fingers to gently combine (do not knead),Buss Up Shut (Paratha Roti)
3,"As mixture becomes dry, add more of the water, little by little, and keep mixing gently until a shaggy dough forms; it should be soft and sticky, without dry spots",Buss Up Shut (Paratha Roti)
4,"(Depending on the humidity, you may not need all of the water.)
Drizzle 1 Tbsp",Buss Up Shut (Paratha Roti)
5,oil over dough and gently press with your knuckles so that the top of dough is covered with oil,Buss Up Shut (Paratha Roti)
6,"Cover bowl with a damp kitchen towel or plastic wrap and let rest in a warm spot 15 minutes.
Meanwhile, mix shortening and ghee in a small bowl until smooth.
Turn out dough onto a lightly floured surface",Buss Up Shut (Paratha Roti)
7,"Flour your hands and gently fold dough over on itself once or twice, then roll into a fat cylinder",Buss Up Shut (Paratha Roti)
